epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.1474,1.24886,3.86186,5.38382,1.50237,0.0026,0.75,0.08764,0.03088,0.0024,0.69231,0.10818,0.04599,1.17168,1.98514,11.9123,1.31779,0.000659864,0.000659864,0.000659864
2,89.5691,1.37153,3.10466,4.78389,1.50601,0.12505,0.23077,0.08521,0.03832,0.19992,0.23077,0.14563,0.0502,1.06378,1.77697,11.1889,1.19832,0.001274,0.001274,0.001274
3,133.764,1.23935,2.68219,5.20239,1.42381,0.00737,0.59615,0.03451,0.01576,0.0069,0.55769,0.03171,0.01351,0.91352,1.72299,9.98296,1.06376,0.00183534,0.00183534,0.00183534
4,177.577,1.23237,2.64405,5.48934,1.39251,0.00287,0.82692,0.11981,0.04447,0.0026,0.75,0.1044,0.03327,0.95792,1.6328,9.25913,1.18504,0.0017624,0.0017624,0.0017624
5,221.562,1.43797,3.06815,4.77386,1.54898,0.02578,0.69231,0.17689,0.06954,0.02148,0.57692,0.17642,0.06222,1.12379,2.04209,8.79488,1.41266,0.0016832,0.0016832,0.0016832
6,265.676,1.35092,2.69217,4.08369,1.54015,0.15017,0.05769,0.11502,0.04081,0.15017,0.05769,0.11843,0.04624,1.1132,1.65693,8.97846,1.21786,0.001604,0.001604,0.001604
7,309.783,1.407,2.90505,4.06888,1.56328,0.40038,0.17308,0.17443,0.05237,0.63483,0.16746,0.22551,0.06724,1.22351,1.74894,8.16121,1.30074,0.0015248,0.0015248,0.0015248
8,353.791,1.36727,2.91927,3.86335,1.60526,0.19502,0.21154,0.10311,0.04734,0.27134,0.30769,0.15672,0.04772,1.02653,1.69202,10.094,1.15046,0.0014456,0.0014456,0.0014456
9,397.755,1.38145,2.64664,3.97394,1.4758,0.43367,0.32403,0.26604,0.11843,0.44132,0.30769,0.27556,0.1221,0.9539,1.53948,7.18399,1.11324,0.0013664,0.0013664,0.0013664
10,441.585,1.32846,2.71622,3.81589,1.46478,0.53604,0.30769,0.29161,0.14156,0.5707,0.32692,0.31507,0.16568,0.915,1.38241,8.04761,1.11037,0.0012872,0.0012872,0.0012872
11,485.667,1.44314,2.69382,3.62005,1.52885,0.64133,0.32692,0.3191,0.14084,0.60589,0.32692,0.30856,0.13632,0.94935,1.65077,6.66935,1.1296,0.001208,0.001208,0.001208
12,529.608,1.104,2.34954,3.79213,1.28577,0.62061,0.23077,0.29021,0.1526,0.62061,0.23077,0.27382,0.14249,0.79743,1.36998,7.72659,0.98866,0.0011288,0.0011288,0.0011288
13,573.718,1.37551,2.51261,3.56001,1.47422,0.25276,0.28846,0.20126,0.09108,0.30617,0.26923,0.18048,0.08372,0.86521,1.48158,6.10936,1.04174,0.0010496,0.0010496,0.0010496
14,617.419,1.19438,2.04018,3.36841,1.38501,0.20532,0.21154,0.11956,0.0604,0.23864,0.25,0.13787,0.06681,0.92556,1.38651,11.6629,1.09162,0.0009704,0.0009704,0.0009704
15,661.231,1.32026,2.75462,3.40418,1.42305,0.3679,0.23515,0.17953,0.09135,0.3679,0.23515,0.17583,0.09459,0.88763,1.3587,8.87414,1.01297,0.0008912,0.0008912,0.0008912
16,716.115,0.7222,1.52101,4.3575,0.86615,0.67339,0.26923,0.32603,0.18418,0.618,0.28846,0.28962,0.13971,0.85745,1.48594,5.16398,0.99464,0.000812,0.000812,0.000812
17,767.209,0.70465,1.40552,4.12942,0.88886,0.37675,0.30234,0.26322,0.13251,0.37472,0.29975,0.25325,0.12378,0.83146,1.37985,5.42695,0.92494,0.0007328,0.0007328,0.0007328
18,811.626,0.68108,1.46276,3.95392,0.83852,0.46538,0.28846,0.2912,0.14715,0.46538,0.28846,0.30564,0.15501,0.80651,1.32488,4.8192,0.93816,0.0006536,0.0006536,0.0006536
19,854.595,0.66158,1.49501,3.79735,0.81912,0.75869,0.26923,0.33757,0.1829,0.75869,0.26923,0.32342,0.17915,0.78998,1.33169,4.67238,0.89841,0.0005744,0.0005744,0.0005744
20,897.78,0.63435,1.41609,3.60591,0.79861,0.86849,0.30769,0.3487,0.20536,0.86849,0.30769,0.33913,0.19284,0.77846,1.3079,4.63716,0.90642,0.0004952,0.0004952,0.0004952
21,941.267,0.57837,1.30556,3.46701,0.78358,0.59259,0.30769,0.34252,0.18898,0.59259,0.30769,0.34704,0.18883,0.77688,1.30139,4.94183,0.90362,0.000416,0.000416,0.000416
22,984.298,0.61812,1.34969,3.3093,0.80088,0.69659,0.28846,0.35701,0.19762,0.69659,0.28846,0.35496,0.19949,0.71639,1.30886,5.11681,0.81335,0.0003368,0.0003368,0.0003368
23,1027.15,0.57919,1.28696,3.33537,0.73796,0.62475,0.38422,0.40159,0.23557,0.69374,0.34856,0.38573,0.22419,0.68275,1.30491,4.42553,0.79366,0.0002576,0.0002576,0.0002576
24,1069.91,0.57079,1.2941,3.1471,0.77678,0.65213,0.36538,0.35428,0.2252,0.6213,0.32692,0.34364,0.19748,0.68532,1.34376,4.59996,0.78924,0.0001784,0.0001784,0.0001784
25,1112.68,0.57792,1.17933,3.19671,0.74582,0.62765,0.35674,0.36781,0.22461,0.6659,0.32692,0.35108,0.19433,0.68909,1.32327,5.35613,0.77785,9.92e-05,9.92e-05,9.92e-05
